"毎日吸っている","時々吸う日がある","以前は吸っていたが、１か月以上吸っていない","吸わない","性別","年齢階層"
0.213438735177866,0.0434782608695652,0.0276679841897233,0.715415019762846,"男","20-29"
0.358288770053476,0.0160427807486631,0.0882352941176471,0.537433155080214,"男","30-39"
0.339147286821705,0.0310077519379845,0.12984496124031,0.5,"男","40-49"
0.322916666666667,0.0291666666666667,0.125,0.522916666666667,"男","50-59"
0.294498381877023,0.0145631067961165,0.142394822006472,0.548543689320388,"男","60-69"
0.147642679900744,0.00992555831265509,0.136476426799007,0.705955334987593,"男","70+"
0.0932835820895522,0.0149253731343284,0.0186567164179104,0.873134328358209,"女","20-29"
0.0909090909090909,0.00757575757575758,0.0681818181818182,0.833333333333333,"女","30-39"
0.126373626373626,0.00915750915750916,0.0567765567765568,0.807692307692308,"女","40-49"
0.0907441016333938,0.0108892921960073,0.0471869328493648,0.851179673321234,"女","50-59"
0.0662824207492795,0.0115273775216138,0.0417867435158501,0.880403458213256,"女","60-69"
0.0267686424474187,0.00382409177820268,0.0133843212237094,0.956022944550669,"女","70+"
